Number of entities: 1145
Valid tirp: 
event: ['128', '20'], temporal relation: =
event: ['128', '23'], temporal relation: =
event: ['128', '26'], temporal relation: =
event: ['128', '29'], temporal relation: =
event: ['128', '31'], temporal relation: =
event: ['128', '35'], temporal relation: =
event: ['128', '38'], temporal relation: =
event: ['128', '42'], temporal relation: =
event: ['128', '44'], temporal relation: =
event: ['128', '47'], temporal relation: =
event: ['128', '5'], temporal relation: =
event: ['128', '50'], temporal relation: =
event: ['128', '53'], temporal relation: =
event: ['128', '56'], temporal relation: =
event: ['128', '62'], temporal relation: =
event: ['128', '65'], temporal relation: =
event: ['128', '69'], temporal relation: =
event: ['128', '71'], temporal relation: =
event: ['128', '74'], temporal relation: =
event: ['128', '8'], temporal relation: =
event: ['128', '80'], temporal relation: =
event: ['128', '83'], temporal relation: =
event: ['128', '85'], temporal relation: =
event: ['128', '89'], temporal relation: =
event: ['128', '92'], temporal relation: =
event: ['128', '95'], temporal relation: =
event: ['128', '98'], temporal relation: =
event: ['13', '130'], temporal relation: =
event: ['13', '134'], temporal relation: =
event: ['13', '137'], temporal relation: =
event: ['13', '143'], temporal relation: =
event: ['13', '17'], temporal relation: =
event: ['13', '26'], temporal relation: =
event: ['13', '29'], temporal relation: =
event: ['13', '31'], temporal relation: =
event: ['13', '35'], temporal relation: =
event: ['13', '44'], temporal relation: =
event: ['13', '47'], temporal relation: =
event: ['13', '53'], temporal relation: =
event: ['13', '56'], temporal relation: =
event: ['13', '62'], temporal relation: =
event: ['13', '65'], temporal relation: =
event: ['13', '71'], temporal relation: =
event: ['13', '74'], temporal relation: =
event: ['13', '8'], temporal relation: =
event: ['13', '80'], temporal relation: =
event: ['13', '83'], temporal relation: =
event: ['13', '85'], temporal relation: =
event: ['13', '89'], temporal relation: =
event: ['13', '92'], temporal relation: =
event: ['13', '98'], temporal relation: =
event: ['130', '134'], temporal relation: =
event: ['130', '137'], temporal relation: =
event: ['130', '140'], temporal relation: =
event: ['130', '143'], temporal relation: =
event: ['130', '17'], temporal relation: =
event: ['130', '2'], temporal relation: =
event: ['130', '20'], temporal relation: =
event: ['130', '23'], temporal relation: =
event: ['130', '26'], temporal relation: =
event: ['130', '29'], temporal relation: =
event: ['130', '31'], temporal relation: =
event: ['130', '35'], temporal relation: =
event: ['130', '38'], temporal relation: =
event: ['130', '42'], temporal relation: =
event: ['130', '44'], temporal relation: =
event: ['130', '47'], temporal relation: =
event: ['130', '5'], temporal relation: =
event: ['130', '50'], temporal relation: =
event: ['130', '53'], temporal relation: =
event: ['130', '56'], temporal relation: =
event: ['130', '62'], temporal relation: =
event: ['130', '65'], temporal relation: =
event: ['130', '69'], temporal relation: =
event: ['130', '71'], temporal relation: =
event: ['130', '74'], temporal relation: =
event: ['130', '8'], temporal relation: =
event: ['130', '80'], temporal relation: =
event: ['130', '83'], temporal relation: =
event: ['130', '85'], temporal relation: =
event: ['130', '89'], temporal relation: =
